"ahh","pdb","amh","rata.sekolah","kode","grup"
69.08,636.82,97.57,8.71,"Kab. Simalungun2011","baik"
69.2,640.3,97.58,8.81,"Kab. Simalungun2012","baik"
66.2,616.5,95.69,8.1,"Kab. Dairi2004","tidak baik"
66.8,618.1,95.77,8.22,"Kab. Dairi2005","baik"
67.4,618.92,97.81,8.2,"Kab. Dairi2006","baik"
67.7,619.08,97.81,8.2,"Kab. Dairi2007","baik"
67.9,623.18,97.81,8.33,"Kab. Dairi2008","baik"
68.15,623.85,97.95,8.53,"Kab. Dairi2009","baik"
68.4,627.7,98.09,8.55,"Kab. Dairi2010","baik"
68.59,629.29,98.7,8.91,"Kab. Dairi2011","baik"
68.78,632.23,98.71,8.95,"Kab. Dairi2012","baik"
70.1,609.95,96.61,8.79,"Kab. Karo2004","baik"
71.74,610.1,97.23,8.94,"Kab. Karo2005","baik"
71.8,610.35,97.39,8.9,"Kab. Karo2006","baik"
71.85,612.92,98.59,8.9,"Kab. Karo2007","baik"
71.99,617.3,98.59,8.9,"Kab. Karo2008","baik"
72.09,619.83,98.69,9.09,"Kab. Karo2009","baik"
72.19,625.48,98.69,9.1,"Kab. Karo2010","baik"
72.29,629.36,98.72,9.22,"Kab. Karo2011","baik"
72.38,633.61,98.73,9.29,"Kab. Karo2012","baik"
68,617.66,96.82,8.58,"Kab. Deli Serdang2004","baik"
68.85,618.64,97.18,8.77,"Kab. Deli Serdang2005","baik"
69.5,623.65,97.42,8.8,"Kab. Deli Serdang2006","baik"
69.83,624.9,97.93,9.02,"Kab. Deli Serdang2007","baik"
70.07,629.69,98.18,9.09,"Kab. Deli Serdang2008","baik"
70.36,630.84,98.35,9.11,"Kab. Deli Serdang2009","baik"
70.65,632.41,98.53,9.5,"Kab. Deli Serdang2010","baik"
70.88,636.39,98.64,9.56,"Kab. Deli Serdang2011","baik"
71.11,639.77,98.66,9.56,"Kab. Deli Serdang2012","baik"
68.22,606.32,96.47,8.5,"Kab. Langkat2004","baik"
68.8,607.08,96.81,8.7,"Kab. Langkat2005","baik"
68.9,609.01,96.81,8.7,"Kab. Langkat2006","baik"
68.92,612.75,96.81,8.7,"Kab. Langkat2007","baik"
68.99,617.56,96.81,8.7,"Kab. Langkat2008","baik"
69.03,624.51,96.85,8.72,"Kab. Langkat2009","baik"
69.07,628.21,96.92,8.76,"Kab. Langkat2010","baik"
69.12,632.54,97.27,8.78,"Kab. Langkat2011","baik"
69.16,636.08,97.48,8.8,"Kab. Langkat2012","baik"
67.35,574.1,84.4,5.9,"Kab. Nias Selatan2004","tidak baik"
67.93,575.38,84.8,6.2,"Kab. Nias Selatan2005","tidak baik"
68.4,579.29,84.8,6.3,"Kab. Nias Selatan2006","tidak baik"
68.85,583.1,84.8,6.3,"Kab. Nias Selatan2007","tidak baik"
69.2,587.42,84.8,6.3,"Kab. Nias Selatan2008","tidak baik"
69.6,592.13,85.19,6.32,"Kab. Nias Selatan2009","tidak baik"
70.01,600.47,85.2,6.33,"Kab. Nias Selatan2010","tidak baik"
70.36,604.39,85.28,6.4,"Kab. Nias Selatan2011","tidak baik"
70.7,608.04,85.36,6.44,"Kab. Nias Selatan2012","tidak baik"
66.2,597.2,97.65,8.5,"Kab. Humbang Hasundutan2004","tidak baik"
66.8,598.53,98.2,8.6,"Kab. Humbang Hasundutan2005","tidak baik"
67.5,602.38,98.2,8.6,"Kab. Humbang Hasundutan2006","baik"
67.64,604.99,98.2,8.65,"Kab. Humbang Hasundutan2007","baik"
67.69,609.62,98.2,8.74,"Kab. Humbang Hasundutan2008","baik"
67.78,611.2,98.21,9.05,"Kab. Humbang Hasundutan2009","baik"
67.87,614.37,98.21,9.05,"Kab. Humbang Hasundutan2010","baik"
67.96,617.64,98.22,9.31,"Kab. Humbang Hasundutan2011","baik"
68.06,621.32,98.22,9.34,"Kab. Humbang Hasundutan2012","baik"
66,599.35,95.15,8,"Kab. Pakpak Bharat2004","tidak baik"
66.33,601.48,95.3,8.1,"Kab. Pakpak Bharat2005","tidak baik"
66.5,602.44,96.22,8.1,"Kab. Pakpak Bharat2006","tidak baik"
66.81,603.99,96.5,8.1,"Kab. Pakpak Bharat2007","tidak baik"
67.05,608.63,96.5,8.1,"Kab. Pakpak Bharat2008","tidak baik"
67.32,611.52,96.51,8.14,"Kab. Pakpak Bharat2009","baik"
67.6,614.58,96.52,8.2,"Kab. Pakpak Bharat2010","baik"
67.81,617.98,96.53,8.22,"Kab. Pakpak Bharat2011","baik"
68.03,621.39,97.51,8.49,"Kab. Pakpak Bharat2012","baik"
67.9,612.45,96.4,9.4,"Kab. Samosir2004","baik"
68.5,613.95,96.6,9.5,"Kab. Samosir2005","baik"
69.3,614.91,96.6,9.5,"Kab. Samosir2006","baik"
69.46,615.35,96.6,9.5,"Kab. Samosir2007","baik"
69.52,619.65,96.6,9.5,"Kab. Samosir2008","baik"
69.62,621.09,96.61,9.51,"Kab. Samosir2009","baik"
69.73,623.89,96.61,9.52,"Kab. Samosir2010","baik"
69.84,627.89,97.47,9.54,"Kab. Samosir2011","baik"
69.95,631.43,97.92,9.55,"Kab. Samosir2012","baik"
67.2,606.4,96,8.5,"Kab. Serdang Bedagai2004","tidak baik"
